season,team,projected_total_dvoa,ending_total_dvoa,ending_pass_dvoa,ending_rush_dvoa,ending_st_dvoa
2023,CLE,0.083,0.088,-0.123,-0.207,0.003
2023,LAC,0.073,-0.032,0.002,0.075,0.041
2023,BAL,0.062,0.455,0.191,-0.233,0.032
2023,DET,0.051,0.17,0.138,-0.032,0
2023,MIA,0.049,0.176,0.209,0.024,-0.009
2023,PIT,0.032,0.078,0.003,-0.08,-0.004
2023,JAX,0.031,0.044,-0.013,-0.042,0.014
2023,NE,0.031,-0.159,-0.172,-0.044,-0.031
2023,ATL,0.021,-0.186,-0.098,0.058,-0.029
2023,NO,0.01,0.01,-0.006,-0.008,0.008
2023,OAK,-0.007,-0.053,-0.107,-0.046,0.009
2023,GB,0.006,0.017,0.129,0.082,-0.03
2023,SEA,-0.012,-0.001,0.062,0.082,0.019
2023,WAS,-0.015,-0.287,-0.104,0.16,-0.022
2023,DEN,-0.038,-0.119,-0.016,0.121,0.018
2023,NYG,-0.066,-0.266,-0.23,0.03,-0.006
2023,TB,-0.079,-0.012,-0.036,-0.024,0
2023,TEN,-0.087,-0.134,-0.101,0.014,-0.019
2023,MIN,-0.104,-0.072,-0.079,-0.039,-0.032
2023,LAR,-0.126,-0.003,0.122,0.034,-0.092
2023,ARI,-0.138,-0.204,-0.045,0.173,0.015
2023,CAR,-0.142,-0.353,-0.275,0.065,-0.012
2023,IND,-0.174,-0.038,0.019,0.026,-0.031
2023,CHI,-0.178,-0.071,-0.065,0.008,0.002
2023,HOU,-0.19,0.031,0.01,0,0.022
2024,SF,0.206,0.067,0.107,-0.016,-0.056
2024,BAL,0.177,0.414,0.352,-0.081,-0.019
2024,KC,0.152,0.149,0.108,-0.029,0.012
2024,HOU,0.135,0.053,-0.123,-0.153,0.023
2024,DET,0.107,0.349,0.199,-0.095,0.055
2024,DAL,0.101,-0.116,-0.123,0.039,0.046
2024,MIA,0.109,-0.098,-0.091,0.019,0.012
2024,CIN,0.072,0.07,0.14,0.064,-0.005
2024,NO,0.024,-0.106,-0.096,0.035,0.026
2024,BUF,0.119,0.228,0.207,-0.047,-0.027
2024,GB,0.064,0.245,0.173,-0.07,0.002
2024,CLE,0.054,-0.399,-0.317,0.04,-0.042
2024,LAR,0.045,0.052,0.098,0.044,-0.002
2024,NYJ,0.029,-0.114,-0.059,0.035,-0.02
2024,SEA,0.034,0.022,-0.039,-0.048,0.013
2024,PHI,-0.004,0.213,0.048,-0.162,0.003
2024,TB,-0.012,0.09,0.123,0.012,-0.021
2024,JAX,0.016,-0.177,-0.021,0.186,0.03
2024,MIN,-0.031,0.161,0.03,-0.155,-0.023
2024,TEN,-0.062,-0.335,-0.234,0.017,-0.084
2024,ATL,-0.05,-0.073,0.044,0.075,-0.041
2024,PIT,-0.074,0.063,-0.05,-0.06,0.053
2024,CAR,-0.138,-0.329,-0.116,0.192,-0.021
2024,NE,-0.095,-0.297,-0.187,0.121,0.011
2024,OAK,-0.073,-0.196,-0.178,0.017,-0.001
2024,IND,-0.106,-0.071,-0.051,0.009,-0.011
2024,LAC,-0.136,0.126,0.075,-0.05,0.001
2024,ARI,-0.101,0.088,0.084,-0.006,-0.002
2024,DEN,-0.133,0.162,-0.006,-0.124,0.044
2024,CHI,-0.105,-0.127,-0.131,0.037,0.041
2024,NYG,-0.156,-0.219,-0.136,0.066,-0.017
2024,WAS,-0.169,0.116,0.133,0.038,0.021
2025,BAL,0.241,,,,
2025,DET,0.204,,,,
2025,BUF,0.193,,,,
2025,KC,0.159,,,,
2025,WAS,0.159,,,,
2025,SF,0.137,,,,
2025,PHI,0.11,,,,
2025,GB,0.063,,,,
2025,CIN,0.056,,,,
2025,DEN,0.054,,,,
2025,LAR,0.048,,,,
2025,TB,0.038,,,,
2025,ARI,0.03,,,,
2025,CHI,0.007,,,,
2025,HOU,0.005,,,,
2025,MIN,0,,,,
2025,JAX,-0.006,,,,
2025,MIA,-0.016,,,,
2025,OAK,-0.022,,,,
2025,DAL,-0.033,,,,
2025,ATL,-0.043,,,,
2025,PIT,-0.046,,,,
2025,LAC,-0.046,,,,
2025,SEA,-0.05,,,,
2025,NE,-0.079,,,,
2025,NYG,-0.115,,,,
2025,IND,-0.126,,,,
2025,CLE,-0.137,,,,
2025,TEN,-0.174,,,,
2025,NYJ,-0.193,,,,
2025,NO,-0.2,,,,
2025,CAR,-0.221,,,,
