season,for_week,team,unit_type,ideal_value
1999,2,OAK,rush_off,4.467512214327816
1999,2,OAK,st_def,0.06763442420607543
1999,2,OAK,st_off,-3.906071349187048
1999,2,PHI,pass_def,0.7393843206375115
1999,2,PHI,pass_off,-13.85283550747434
1999,2,PHI,rush_def,0.6656822085401567
1999,2,PHI,rush_off,1.4033760481916693
1999,2,PHI,st_def,-0.08973494053341985
1999,2,PHI,st_off,-0.09066260267479406
1999,2,PIT,pass_def,2.0907603039576843
1999,2,PIT,pass_off,18.967174174214747
1999,2,PIT,rush_def,-0.33700301868530014
1999,2,PIT,rush_off,4.500617920863013
1999,2,PIT,st_def,0.2679019650097727
1999,2,PIT,st_off,-0.9079736876163664
1999,2,SEA,pass_def,-0.30628900461770164
1999,2,SEA,pass_off,-4.145119862844921
1999,2,SEA,rush_def,0.4730346648414872
1999,2,SEA,rush_off,-2.4567512480848372
1999,2,SEA,st_def,-1.6660363092001083
1999,2,SEA,st_off,-3.8182207571045
1999,2,SF,pass_def,-1.4351375178040415
1999,2,SF,pass_off,-19.36564528219081
1999,2,SF,rush_def,0.626138911899517
1999,2,SF,rush_off,-0.6262110234937859
1999,2,SF,st_def,-1.117410043268571
1999,2,SF,st_off,-3.761256661537695
1999,2,TB,pass_def,0.31455384376605444
1999,2,TB,pass_off,-19.207632892420307
1999,2,TB,rush_def,0.6530271353105532
1999,2,TB,rush_off,-1.860823658643727
1999,2,TB,st_def,-0.6234475888121999
1999,2,TB,st_off,3.8530897437970903
1999,2,TEN,pass_def,0.807371386815183
1999,2,TEN,pass_off,7.36041219630877
1999,2,TEN,rush_def,-0.5640830824962626
1999,2,TEN,rush_off,-1.215829315778612
1999,2,TEN,st_def,-0.14360983659561044
1999,2,TEN,st_off,3.8678621597450005
1999,2,WAS,pass_def,0.7193425597762295
1999,2,WAS,pass_off,15.041159551870646
1999,2,WAS,rush_def,-0.186613270468997
1999,2,WAS,rush_off,2.7371555935380374
1999,2,WAS,st_def,-0.08797113893897412
1999,2,WAS,st_off,-0.707106844582247
1999,3,ARI,pass_def,9.881148711209667
1999,3,ARI,pass_off,-10.847670631818323
1999,3,ARI,rush_def,2.3202223628803926
1999,3,ARI,rush_off,-7.156692681416262
1999,3,ARI,st_def,-0.6482676423007256
1999,3,ARI,st_off,1.1025353084180038
1999,3,ATL,pass_def,0.8657193578581032
1999,3,ATL,pass_off,-2.7901274743010185
1999,3,ATL,rush_def,2.170454544701104
1999,3,ATL,rush_off,-0.012902001520922622
1999,3,ATL,st_def,1.859448154534572
1999,3,ATL,st_off,-1.5412334695992933
1999,3,BAL,pass_def,12.904099394191451
1999,3,BAL,pass_off,-4.340710040852494
1999,3,BAL,rush_def,-0.013268465399027533
1999,3,BAL,rush_off,-0.307985359483417
1999,3,BAL,st_def,-1.0062999456623958
1999,3,BAL,st_off,3.1948195926886047
1999,3,BUF,pass_def,0.18979641699513256
1999,3,BUF,pass_off,-4.592370245724935
1999,3,BUF,rush_def,2.357239180330062
1999,3,BUF,rush_off,1.688485174323276
1999,3,BUF,st_def,0.23628545187648986
1999,3,BUF,st_off,-1.0777510283012248
1999,3,CAR,pass_def,4.0974004134951265
1999,3,CAR,pass_off,-5.096324411454357
1999,3,CAR,rush_def,-5.231891000969538
1999,3,CAR,rush_off,3.0772806387487237
1999,3,CAR,st_def,1.6263862144048489
1999,3,CAR,st_off,-0.14096285417409804
1999,3,CHI,pass_def,-3.3982154708769134
1999,3,CHI,pass_off,-1.70120158704041
1999,3,CHI,rush_def,-0.48445640510960714
1999,3,CHI,rush_off,1.4502669419110858
1999,3,CHI,st_def,1.6309413024404622
1999,3,CHI,st_off,-3.298259634495931
1999,3,CIN,pass_def,-0.274685652634185
1999,3,CIN,pass_off,-3.5001087472788086
1999,3,CIN,rush_def,2.457807442367651
1999,3,CIN,rush_off,-0.0967951903372092
1999,3,CIN,st_def,-2.0639786735485894
1999,3,CIN,st_off,-0.3045734712570615
1999,3,CLE,pass_def,-11.81885002865465
1999,3,CLE,pass_off,-17.302116076316018
1999,3,CLE,rush_def,-2.2516777789139604
1999,3,CLE,rush_off,0.9104593565460112
1999,3,CLE,st_def,0.8635713993973338
1999,3,CLE,st_off,-0.12943570716119207
1999,3,DAL,pass_def,9.162042150513066
1999,3,DAL,pass_off,2.541415617602806
1999,3,DAL,rush_def,1.6703097283492334
1999,3,DAL,rush_off,4.86392833363567
1999,3,DAL,st_def,0.34957626625119254
1999,3,DAL,st_off,-0.38987597827250464
1999,3,DEN,pass_def,-6.6484545377953985
1999,3,DEN,pass_off,7.562884550194363
1999,3,DEN,rush_def,-2.506699893695431
1999,3,DEN,rush_off,-2.210040321444205
1999,3,DEN,st_def,-0.7135230420834245
1999,3,DEN,st_off,-0.1517131313534875
1999,3,DET,pass_def,10.285237387544676
1999,3,DET,pass_off,-1.3875807281544774
1999,3,DET,rush_def,-0.05258427839639725
1999,3,DET,rush_off,-1.7754954430441914
1999,3,DET,st_def,0.2241710629392492
1999,3,DET,st_off,4.315957333606558
1999,3,GB,pass_def,-1.4677731312860076
1999,3,GB,pass_off,7.683374239331727
1999,3,GB,rush_def,-0.6832096433797985
1999,3,GB,rush_off,-2.1100603457784994
1999,3,GB,st_def,0.5739098354984086
1999,3,GB,st_off,-1.352545575339618
1999,3,IND,pass_def,6.259515208503943
1999,3,IND,pass_off,12.699474943321984
1999,3,IND,rush_def,1.3392223414173159
1999,3,IND,rush_off,-3.7594004309749787
1999,3,IND,st_def,-1.07387892896272
1999,3,IND,st_off,-0.3265927069780289
1999,3,JAX,pass_def,3.6953028694158343
1999,3,JAX,pass_off,7.719902786676457
1999,3,JAX,rush_def,0.7175289590996339
1999,3,JAX,rush_off,1.7028125041298396
1999,3,JAX,st_def,0.07052409450288506
1999,3,JAX,st_off,0.7427528972957573
1999,3,KC,pass_def,5.349645343637375
